Issue;Total time
CODEMOTION;0h 9m
CLASSE-78;0h 33m
CONFIG-expo2020;0h 28m
CLASSE-78;0h 8m
FORMALIZZAZIONE-talk;0h 43m
CLASSE-1460;1h 47m
CLASSE-1460;0h 2m
PAUSA;1h 2m
CLASSE-1417;1h 17m
CLASSE-1417;0h 12m
PREPARAZIONE-talk;0h 23m
TALK;2h 7m
