Issue;Total time
PREPARAZIONE-unipd;1h 4m
ANALISI-birddor;0h 34m
CLASSE-1507;1h 53m
CLASSE-1507;0h 16m
PAUSA;1h 2m
CLASSE-1507;0h 44m
CLASSE-1180;0h 41m
CLASSE-1180;0h 20m
CLASSE-1420;0h 33m
MIMETYPE;1h 24m
UNIPD;0h 35m
