Issue;Total time
CLASSE-78;0h 53m
IU-566;0h 22m
CBTALMA-1423;0h 21m
IU-566;0h 40m
IU-560;0h 22m
CBTALMA-1423;0h 1m
CLASSE-32;0h 46m
CLASSE-32;0h 14m
PAUSA;0h 30m
CBTALMA-1423;0h 55m
RICMUR-2989;0h 15m
RICMUR-2989;1h 32m
IU-560;0h 39m
CLASSE-32;0h 33m
