Issue;Total time;
CLASSE-78;0h 12m;
CBTALMA-1436;1h 36m;
CLASSE-78;0h 37m;
IU-1008;1h 41m;
PAUSA;0h 30m;
CLASSE-78;0h 41m;
CLASSE-991;1h 13m;
CBTALMA-1535;0h 22m;
CLASSE-992;1h 31m;
