Issue;Total time;
CBTALMA-1535;0h 33m;
CLASSE-994;0h 45m;
CLASSE-993;0h 19m;
CLASSE-994;0h 39m;
CBTALMA-1535;1h 1m;
CLASSE-994;0h 27m;
CLASSE-994;0h 12m;
PAUSA;0h 30m;
CLASSE-994;1h 43m;
CLASSE-994;0h 54m;
IU-566;0h 39m;
IU-566;0h 39m;
CLASSE-997;0h 34m;
