Issue;Total time
CLASSE-78;0h 40m
REGISTRAZIONI-utenti;0h 12m
DESIGNER;0h 49m
MODELSTORE;1h 55m
PAUSA;0h 30m
MODELSTORE-riunionepercetp;2h 11m
MODELSTORE-quesiti;1h 43m
ESTRAZIONE-edilizia;0h 49m
