Issue;Total time
CLASSE-78;0h 4m
DESIGNER-bandi;0h 47m
DESIGNER-bandi;0h 36m
ESTRAZIONE-ediliziautenti;0h 10m
CLASSE-78;0h 15m
DESIGNER-bandi;0h 57m
ESTRAZIONE-edilizia;1h 19m
ESTRAZIONE-edilizia;0h 3m
PAUSA;0h 57m
PRESENTAZIONE;1h 42m
PRESENTAZIONE;0h 17m
PROD-monitoring;1h 2m
SIMO;0h 41m
CLASSE-1328;0h 29m
