Issue;Total time
CLASSE-78;0h 7m
KUBERNETES;4h 10m
KUBERNETES;0h 1m
PAUSA;1h 7m
KUBERNETES;3h 20m
PAUSA;1h 41m
KUBERNETES;0h 27m
