Issue;Total time
ETL-nodejs;1h 5m
ETL-nodejs;0h 8m
SUPPORTO-fisa;0h 13m
ETL-water4all;0h 59m
PAUSA;0h 43m
SUPPORTO-afam;0h 18m
ETL-water4all;0h 12m
PAUSA;0h 27m
CLASSE-78;0h 10m
BASH-modelstore;0h 11m
BASH-modelstore;0h 16m
CLASSE-78;0h 17m
CLASSE-32;0h 50m
ANALISI-tecnicanuovirequirementcandidature;0h 43m
CLASSE-32;0h 9m
CONFIGURAZIONE-tenantfisa;0h 33m
SUPPORTO-fisa;0h 49m
CONFIGURAZIONE-tenant;0h 56m
