Issue;Total time
CLASSE-78;0h 39m
KOTLIN-remove;0h 38m
KUBERNETES;0h 23m
KEYCLOAK;0h 12m
PRESENTAZIONE;2h 6m
PAUSA;0h 30m
MODELSTORE;0h 38m
CLASSE-1273;0h 25m
MIRKO;0h 39m
ANALISI-mail;0h 11m
KEYCLOAK-analisi;0h 26m
ESTRAZIONE-sedi;0h 8m
SUPPORTO-stefania;0h 23m
MODELSTORE;1h 3m
AIUTO-federicocarpeggiani;0h 0m
MODELSTORE;0h 27m
