Issue;Total time
CLASSE-78;0h 13m
PREPARAZIONE-rilascio;1h 5m
RILASCIO-produzione;1h 7m
CODEMOTION;0h 10m
ALLINEAMENTO-postrilascio;0h 49m
ALLINEAMENTO-carlosimone;0h 24m
ALLINEAMENTO;0h 10m
ALLINEAMENTO;0h 12m
PAUSA;0h 30m
QUESITI;0h 37m
INTERVENTI-devopsbackend;0h 49m
PIPELINE;0h 24m
FIXPIPELINE-landing;0h 17m
ISSUE;1h 17m
