Issue;Total time
CLASSE-78;0h 8m
CLASSE-1665;0h 56m
CLASSE-78;0h 24m
SDMIURRIC-9593;0h 27m
SDMIURRIC-9618;0h 7m
BIRD-dor;0h 3m
BIRD-dor;0h 19m
BIRD-dor;0h 1m
CLASSE-78;0h 15m
CLASSE-1642;0h 44m
CLASSE-1266;0h 15m
PAUSA;0h 49m
CLASSE-1676;0h 43m
CLASSE-32;0h 12m
CLASSE-1676;0h 2m
CLASSE-1676;0h 14m
CLASSE-1677;0h 32m
CLASSE-1672;0h 2m
CLASSE-1672;0h 0m
CETP;0h 43m
CLASSE-78;0h 12m
CETP;0h 8m
CETP;0h 38m
CLASSE-1642;0h 17m
CLASSE-32;0h 3m
CLASSE-1677;0h 32m
CLASSE-78;0h 3m
