Issue;Total time;
ANALISI-classe;0h 30m;
CLASSE-78;0h 11m;
PREPARAZIONE-demo;0h 32m;
CLASSE-1035;0h 18m;
PREPARAZIONE-demo;2h 45m;
PREPARAZIONE-demo;0h 4m;
PAUSA;0h 30m;
PREPARAZIONE-demo;0h 56m;
CLASSE-961;0h 37m;
CONFIGURAZIONE-datamanager;1h 1m;
RICERCA-jsonpath;1h 0m;
CLASSE-960;0h 44m;
