Issue;Total time;
CLASSE-78;0h 7m;
CLASSE-1139;0h 4m;
CLASSE-1128;1h 10m;
PAUSA;0h 58m;
TECH-talk;0h 23m;
CLASSE-1128;1h 48m;
PAUSA;1h 4m;
CLASSE-1053;0h 31m;
CLASSE-961;1h 16m;
CLASSE-961;0h 23m;
CLASSE-961;0h 8m;
CLASSE-1053;1h 1m;
CLASSE-961;0h 29m;
CLASSE-961;0h 31m;
