Issue;Total time
CLASSE-78;0h 14m
FULL-proposal;1h 35m
RIUNIONE-area;2h 19m
FULL-proposal;0h 16m
PAUSA;0h 24m
FULL-proposal;1h 52m
MASTER;0h 9m
VALUTAZIONE;1h 48m
