Issue;Total time
CLASSE-78;0h 12m
CLASSE-1266;0h 25m
CLASSE-78;0h 27m
CLASSE-1677;1h 24m
CLASSE-1665;0h 21m
CLASSE-78;0h 22m
PAUSA;0h 47m
CLASSE-unipd;0h 17m
CLASSE-unipd;0h 11m
CLASSE-1677;0h 1m
CLASSE-1266;0h 8m
CLASSE-1165;0h 24m
CLASSE-1835;0h 13m
CLASSE-1448;1h 43m
CLASSE-1677;0h 31m
AFAM;0h 45m
CLASSE-1448;0h 28m
CLASSE-78;0h 5m
