Issue;Total time
CLASSE-1448;0h 43m
CLASSE-78;0h 22m
FULLPROPOSAL;1h 10m
CLASSE-78;0h 46m
CLASSE-32;0h 37m
CLASSE-78;0h 24m
AFAM;0h 28m
PY;0h 10m
PAUSA;0h 50m
CLASSE-1293;2h 8m
CLASSE-1931;0h 16m
CLASSE-1931;0h 17m
PY;0h 0m
AFAM;0h 21m
CLASSE-78;0h 6m
CLASSE-78;0h 2m
CLASSE-1448;0h 31m
