Issue;Total time
FULL-proposal;0h 3m
CLASSE-78;0h 12m
PAUSA;1h 17m
RICMUR-4093;0h 44m
VALUTAZIONE;0h 51m
RICMUR-4093;0h 23m
VALUTAZIONE;0h 46m
PAUSA;0h 54m
VALUTAZIONE;0h 48m
CLASSE-1963;1h 12m
MFE-vue;1h 36m
COORDINAMENTO;0h 22m
CLASSE-78;0h 12m
