Issue;Total time
CLASSE-78;0h 9m
CLASSE-78;0h 13m
MONITORING;0h 25m
EDILIZIA;0h 7m
CENSIMENTO-gestionetimezone;0h 42m
CLASSE-birddoranalisi;0h 36m
MASTER;0h 35m
MASTER-script;0h 21m
EDILIZIA;0h 11m
CLASSE-961;0h 35m
CLASSE-961;0h 2m
PAUSA;1h 4m
CLASSE-1572;0h 36m
CLASSE-32;0h 53m
BANDI-2019;0h 14m
GAPANALYSIS-picaclasse;0h 59m
CLASSE-1568;1h 7m
