Issue;Total time
CLASSE-78;0h 2m
PREPARAZIONE-demo;1h 34m
CLASSE-1417;0h 39m
ALLINEAMENTO-alexfisa;0h 20m
CLASSE-961;0h 48m
UNIPD;1h 42m
PAUSA;0h 54m
CLASSE-mimetype;0h 41m
UNIPD;2h 46m
