Issue;Total time
CLASSE-961;0h 38m
CLASSE-961;1h 7m
CLASSE-961;1h 10m
W4ALL;0h 5m
CLASSE-960;1h 11m
PAUSA;0h 57m
CLASSE-78;0h 16m
WATER;0h 12m
CLASSE-961;1h 20m
WATER4ALL;1h 1m
WATER4ALL;0h 36m
CLASSE-961;0h 28m
