Issue;Total time
MODELSTORE;0h 28m
MODELSTORE;0h 21m
CLASSE-32;2h 41m
MODELSTORE;0h 21m
PAUSA;0h 52m
MODELSTORE;0h 23m
CLASSE-1266;0h 39m
FULL-proposal;0h 27m
FULL-proposal;1h 55m
CLASSE-1826;0h 43m
