Issue;Total time
CLASSE-78;0h 13m
BASH-fluxconf;0h 26m
ROUTE;0h 10m
BASH-fluxconf;0h 7m
BASH-fluxconf;0h 12m
MODELSTORE;0h 19m
YQ;1h 36m
PRESENTAZIONE-gocd;1h 6m
YQ;0h 12m
PAUSA;0h 27m
YQ;0h 6m
BASH;2h 26m
CLASSE-78;0h 54m
MODALITA-sportello;0h 34m
ETL;0h 27m
