Issue;Total time
CLASSE-1665;1h 9m
ANALISI-nuovobando;0h 40m
ANALISI-nuovobando;0h 17m
CLASSE-78;0h 11m
CLASSE-78;0h 1m
CLASSE-78;0h 7m
PAUSA;0h 30m
CLASSE-1448;1h 2m
CLASSE-1665;0h 30m
MODELSTORE-mirko;1h 42m
MODELSTORE-mirko;0h 10m
CLASSE-1685;0h 30m
CLASSE-78;0h 28m
CLASSE-1782;0h 30m
CLASSE-1782;0h 7m
