Issue;Total time;
CLASSE-78;0h 23m;
CLASSE-1123;0h 29m;
CLASSE-1123;0h 18m;
CLASSE-78;0h 11m;
CLASSE-960;1h 44m;
CLASSE-961;0h 38m;
PAUSA;1h 3m;
CLASSE-961;1h 50m;
CLASSE-961;1h 9m;
CLASSE-961;0h 27m;
CLASSE-961;0h 40m;
