Issue;Total time
CLASSE-78;0h 19m
CLASSE-1351;0h 5m
ETL;0h 42m
ETL;0h 18m
FIX-beclasse;0h 12m
MODELSTORE-quesiti;2h 11m
REQUISITI-edilizia;0h 11m
REQUISITI-edilizia;0h 3m
PAUSA;0h 55m
ETL;0h 29m
SUPPORTO-fisa;0h 26m
ETL;0h 24m
ETL;0h 4m
CLASSE-78;0h 42m
CLASSE-78;0h 24m
TECH-talk;1h 30m
TECH-talk;0h 0m
