Issue;Total time
CLASSE-1448;1h 19m
AFAM;0h 18m
FULL-proposal;1h 6m
FULL-proposal;0h 9m
FP;0h 11m
PAUSA;0h 55m
CLASSE-1448;0h 29m
CLASSE-1448;4h 34m
CLASSE-1448;0h 4m
