Issue;Total time
CLASSE-78;0h 41m
ALLINEAMENTO-stefania;0h 24m
CLASSE-78;0h 12m
SISTEMAZIONE-issue;0h 18m
APERTURA-issue;0h 34m
ALLINEAMENTO-bandi;0h 39m
APERTURA-issue;0h 8m
RIORGANIZZAZIONE-code;1h 10m
PAUSA;1h 6m
RIORGANIZZAZIONE-code;0h 11m
CLASSE-1168;0h 39m
CLASSE-1168;0h 30m
RIUNIONE-sabrina;1h 10m
CLASSE-1163;0h 28m
CLASSE-1163;0h 8m
CLASSE-78;0h 45m
CLASSE-78;0h 6m
