Issue;Total time
CLASSE-78;0h 9m
REFACTORING-flux;0h 45m
ANALISI-tecnica;0h 28m
ANALISI-tecnica;0h 11m
ANALISI-tecnica;0h 55m
ANALISI-tecnica;0h 28m
CLASSE-32;0h 14m
CLASSE-32;0h 12m
CLASSE-32;0h 3m
PAUSA;1h 27m
EDILIZIA;0h 9m
CLASSE-32;0h 10m
CLASSE-1460;0h 21m
CLASSE-1460;1h 1m
CLASSE-32;0h 59m
EDILIZIA;0h 55m
TICKET-sdmricnaz1552;0h 30m
SDMRICNAZ-1556;0h 12m
TICKET;0h 4m
