Issue;Total time
CLASSE-78;0h 25m
CLASSE-scriptpy;0h 46m
CLASSE-144;1h 15m
CLASSE-1448;0h 55m
CLASSE-32;0h 6m
CLASSE-32;0h 2m
AFAM;0h 10m
PAUSA;0h 30m
CLASSE-32;0h 45m
AFAM;0h 16m
FULL-proposal;0h 42m
CLASSE-78;0h 59m
CLASSE-1266;1h 30m
AFAM;0h 18m
