Issue;Total time;
CLASSE-78;0h 9m;
IU-557;0h 20m;
IU-560;0h 15m;
CLASSE-78;0h 14m;
IU-560;0h 29m;
IU-563;0h 13m;
CLASSE-78;0h 26m;
IU-557;0h 31m;
IU-563;0h 23m;
IU-566;0h 24m;
IU-566;0h 17m;
PAUSA;0h 56m;
KONG;1h 5m;
RICMUR-2989;0h 31m;
IU-566;0h 5m;
CBTALMA-1432;0h 43m;
CLASSE-78;0h 18m;
CBTALMA-1432;0h 34m;
CBTALMA-1432;0h 30m;
