Issue;Total time
CLASSE-78;0h 14m
CLASSE-2037;0h 49m
CLASSE-78;0h 9m
CLASSE-32;1h 2m
CLASSE-1984;0h 23m
CLASSE-1984;0h 13m
CLASSE-78;0h 29m
CLASSE-32;0h 11m
CLASSE-2037;0h 11m
PAUSA;0h 30m
CLASSE-1165;0h 57m
CLASSE-2027;1h 47m
CLASSE-2027;0h 12m
CLASSE-78;0h 42m
CLASSE-78;0h 1m
CLASSE-78;1h 6m
