Issue;Total time;
CLASSE-78;0h 7m;
CLASSE-1153;1h 23m;
CLASSE-1153;1h 36m;
PAUSA;1h 7m;
CLASSE-1153;1h 22m;
ARCHITETTURE;0h 28m;
CLASSE-1153;1h 44m;
CLASSE-1153;0h 11m;
