Issue;Total time
FISA;2h 10m
FISA;0h 32m
FISA;0h 17m
FISA;0h 26m
CLASSE-78;0h 10m
FORMALIZZAZIONE-techtalk;0h 8m
AFAM;0h 33m
ALLINEAMENTO-bandi;0h 23m
AFAM;0h 22m
FISA;0h 23m
CLASSE-78;0h 5m
PAUSA;0h 59m
FISA;0h 17m
JUNIT;0h 30m
ETL;2h 13m
AFAM;0h 19m
ETL-water4all;0h 36m
CLASSE-78;0h 15m
