Issue;Total time
CLASSE-78;0h 1m
CLASSE-1266;0h 30m
CLASSE-961;0h 31m
CLASSE-1984;0h 48m
CLASSE-2180;0h 41m
CLASSE-1984;1h 12m
PAUSA;1h 2m
CLASSE-1984;0h 5m
CLASSE-2180;0h 41m
CLASSE-1984;0h 49m
CLASSE-968;0h 11m
CLASSE-1984;1h 44m
