Issue;Total time
CLASSE-1984;0h 53m
CLASSE-1984;0h 20m
CLASSE-1984;0h 56m
CLASSE-32;0h 47m
CLASSE-2033;0h 26m
PAUSA;1h 46m
CLASSE-1984;0h 14m
CLASSE-1984;0h 45m
CLASSE-1984;0h 37m
CLASSE-78;0h 15m
CLASSE-1948;0h 53m
CLASSE-1948;0h 23m
