Issue;Total time;
CLASSE-78;0h 5m;
CBTALMA-1535;1h 8m;
CLASSE-997;1h 35m;
CLASSE-997;1h 8m;
CLASSE-997;0h 2m;
PAUSA;1h 13m;
CLASSE-997;1h 1m;
CLASSE-997;0h 10m;
PAUSA;1h 21m;
CLASSE-997;1h 11m;
