Issue;Total time
CLASSE-78;0h 24m
CLASSE-1448;0h 37m
CLASSE-1677;0h 13m
CLASSE-1684;0h 31m
ANALISI;1h 21m
CLASSE-32;0h 9m
AFAM;0h 14m
CLASSE-78;0h 14m
CLASSE-1645;0h 4m
CLASSE-78;0h 1m
CLASSE-78;0h 1m
PAUSA;1h 9m
CLASSE-1448;0h 54m
ANALISI;0h 50m
CLASSE-32;0h 30m
CLASSE-mfe;0h 41m
CLASSE-1448;0h 47m
