Issue;Total time
CLASSE-1448;1h 29m
AFAM;0h 24m
CLASSE-78;0h 22m
CLASSE-1665;0h 26m
CLASSE-78;0h 10m
PROBLEMA-kc;0h 39m
PROBLEMA-token;0h 14m
CLASSE-1448;0h 16m
PAUSA;1h 8m
CLASSE-32;0h 11m
CLASSE-1448;0h 24m
CLASSE-1448;1h 17m
CLASSE-961;0h 22m
CLASSE-78;1h 1m
CLASSE-1448;0h 5m
