Issue;Total time
CLASSE-78;0h 18m
CLASSE-1669;0h 12m
CLASSE-1670;0h 9m
BIRD-dor;1h 25m
CLASSE-78;0h 42m
CLASSE-78;0h 4m
QUESITI;0h 45m
CLASSE-961;0h 8m
CLASSE-1672;0h 9m
AFAM;0h 14m
NOTIFICHE;0h 25m
PAUSA;0h 39m
ALLINEAMENTO-stefi;0h 37m
BIRD-dor;0h 28m
CLASSE-78;0h 8m
UTENZE-edilizia;0h 1m
CLASSE-961;0h 47m
CLASSE-961;0h 2m
CLASSE-961;0h 26m
CLASSE-32;0h 15m
CLASSE-32;0h 40m
CLASSE-78;0h 29m
