Issue;Total time
CLASSE-1747;0h 45m
CLASSE-78;0h 10m
AFAM;0h 9m
AFAM;0h 23m
CLASSE-1677;0h 16m
CLASSE-1755;1h 18m
CLASSE-1755;0h 26m
CLASSE-1755;0h 14m
EDILIZIA;0h 10m
CLASSE-1677;0h 29m
AFAM;0h 23m
PAUSA;0h 54m
CLASSE-78;0h 25m
ANALISI;0h 54m
BIRD-dor;1h 11m
CLASSE-32;0h 13m
CLASSE-78;1h 1m
