Issue;Total time
CLASSE-78;0h 13m
CLASSE-961;0h 19m
RUOLI-master;2h 36m
INTEGRAZIONE-documentale;0h 8m
BUG-master;0h 24m
CALL-tecnicacarlo;0h 49m
PAUSA;0h 57m
CLASSE-1638;0h 21m
CLASSE-ops;0h 26m
CLASSE-1638;0h 14m
CLASSE-32;0h 53m
BIRD-dor;0h 58m
PAUSA;1h 8m
CLASSE-1613;0h 22m
EMAIL;0h 15m
