Issue;Total time
CLASSE-78;0h 10m
CLASSE-1677;0h 26m
CLASSE-78;0h 13m
CLASSE-1805;0h 50m
CLASSE-1805;0h 10m
CLASSE-1805;0h 5m
CLASSE-1805;1h 0m
CLASSE-1805;0h 33m
CLASSE-1448;0h 8m
PAUSA;0h 30m
CLASSE-1448;2h 11m
CLASSE-1807;2h 54m
CLASSE-1677;0h 14m
