Issue;Total time
SDMIURRIC-9696;0h 15m
CLASSE-78;0h 13m
CLASSE-1685;0h 40m
CLASSE-32;0h 4m
CLASSE-1448;0h 12m
CLASSE-1448;0h 16m
CLASSE-1451;0h 22m
CLASSE-1451;1h 11m
CLASSE-1451;0h 18m
CLASSE-1779;0h 2m
CLASSE-78;0h 2m
CLASSE-1448;0h 15m
CLASSE-1448;0h 6m
PAUSA;0h 51m
CLASSE-78;0h 22m
CLASSE-78;0h 16m
CLASSE-1451;0h 43m
CLASSE-1451;0h 27m
CLASSE-1451;0h 11m
BIRD-dor;1h 1m
CLASSE-32;0h 19m
PAUSA;0h 56m
CLASSE-32;0h 29m
CONFIGURAZIONE;0h 43m
