Issue;Total time
CLASSE-78;0h 18m
CLASSE-1677;0h 53m
CLASSE-analisi;1h 6m
CLASSE-1642;0h 28m
COORDINAMENTO;0h 16m
CLASSE-961;0h 59m
BIRD;0h 10m
PAUSA;0h 33m
BIRD-dor;0h 43m
CETP;0h 20m
CLASSE-961;0h 8m
CLASSE-32;0h 11m
CLASSE-961;1h 21m
CLASSE-1492;0h 3m
CLASSE-1642;0h 33m
CLASSE-1677;0h 9m
CETP;0h 34m
CETP;0h 15m
