Issue;Total time
SDMRICNAZ-2028;0h 7m
CETP;0h 24m
ESTRAZIONE-edilizia;0h 26m
CLASSE-78;0h 6m
CLASSE-78;0h 5m
PAUSA;2h 28m
EDILIZIA;0h 2m
TELEMETRY;0h 13m
SDMIURRIC-9661;0h 4m
SDMIURRIC-9661;0h 1m
SDMIURRIC-9661;0h 16m
TELEMETRY;0h 32m
CLASSE-78;0h 3m
PAUSA;0h 42m
TELEMETRY;0h 36m
BIRD-dor;0h 24m
CLASSE-1677;0h 41m
CLASSE-1642;0h 35m
CLASSE-32;0h 17m
RICMUR-3461;0h 10m
RICMUR-3461;0h 9m
ANALISI;0h 56m
COORDINAMENTO;0h 31m
