Issue;Total time;
CLASSE-78;0h 15m;
CLASSE-1153;0h 32m;
CLASSE-1159;1h 9m;
CLASSE-78;0h 11m;
CLASSE-1159;0h 15m;
CLASSE-1159;0h 11m;
CLASSE-1160;0h 35m;
CLASSE-1160;0h 39m;
CLASSE-1160;0h 28m;
PAUSA;0h 30m;
SUPPORTO-simo_vir_camunda;2h 15m;
CLASSE-1160;0h 30m;
CLASSE-1160;0h 7m;
