Issue;Total time
CLASSE-78;0h 16m
ALLINEAMENTO-ambienti;0h 16m
STRUTTURA-prin;0h 34m
SUPPORTO-giulio;0h 7m
STRUTTURA-prin;0h 48m
PRIN;1h 34m
PAUSA;0h 30m
VAULT;2h 12m
VINCOLO-dataandrei;0h 56m
CLASSE-960;0h 26m
STRUTTURA-prin;1h 10m
STRUTTURA-prin;0h 2m
