Issue;Total time;
CLASSE-78;0h 29m;
CAMUNDA;0h 11m;
CAMUNDA;3h 44m;
PAUSA;0h 30m;
CAMUNDA;1h 0m;
LIBRERIA-camunda;2h 4m;
LIBRERIA-camunda;0h 30m;
LIBRERIA-camunda;0h 4m;
