Issue;Total time;
CLASSE-78;0h 13m;
CAMUNDA;2h 14m;
PINN-69;0h 19m;
CAMUNDA;0h 13m;
ESTRAZIONE-edilizia;0h 23m;
PAUSA;1h 22m;
PINN-69;0h 14m;
CLASSE-970;0h 40m;
CLASSE-970;0h 10m;
DOCUMENTAZIONE;0h 53m;
PINN-69;0h 34m;
CAMUNDA;1h 7m;
CAMUNDA;0h 17m;
CAMUNDA;0h 22m;
CAMUNDA;0h 25m;
