Issue;Total time;
CLASSE-78;0h 11m;
CLASSE-1153;0h 58m;
IU-leak;0h 41m;
CLASSE-1153;0h 28m;
CLASSE-32;0h 52m;
IU;0h 6m;
CAMUNDA-quarkus;0h 32m;
PAUSA;0h 30m;
CAMUNDA-quarkus;1h 27m;
CLASSE-961;0h 29m;
CLASSE-961;1h 13m;
CLASSE-961;0h 25m;
CLASSE-970;0h 45m;
