Issue;Total time
CLASSE-961;0h 15m
FISA;1h 18m
AFAM;1h 29m
PROD-expo2020;0h 50m
PROD-expo2020;0h 3m
PAUSA;0h 51m
EXPO2020;0h 10m
CLASSE-78;0h 8m
EDILIZIA;1h 32m
EDILIZIA;0h 14m
EDILIZIA;0h 5m
EDILIZIA;0h 8m
CETP;0h 15m
CLASSE-961;1h 4m
FISA;0h 36m
CLASSE-78;0h 13m
CLASSE-961;0h 6m
CLASSE-78;0h 1m
