Issue;Total time
CLASSE-78;0h 25m
ESTRAZIONE-cetp;0h 11m
CLASSE-78;0h 45m
CLASSE-devops;0h 12m
YQMERGE;0h 40m
SCRIPT-modelstore;0h 59m
CLASSE-961;0h 19m
CLASSE-961;0h 37m
SCRIPT-unipd;0h 4m
PAUSA;0h 30m
CLASSE-962;0h 45m
CLASSE-32;0h 26m
BIRD-dor;0h 21m
CLASSE-32;0h 54m
CLASSE-32;0h 47m
CLASSE-ops;0h 12m
CLASSE-ops;0h 7m
CLASSE-ops;0h 47m
