Issue;Total time
CLASSE-78;0h 23m
CLASSE-961;0h 38m
CLASSE-961;1h 12m
CLASSE-32;0h 41m
CLASSE-78;0h 27m
PAUSA;1h 31m
CLASSE-961;1h 26m
CLASSE-961;0h 45m
CLASSE-961;1h 48m
